code_module,code_presentation,id_student,label
AAA,2013J,11391,0
AAA,2013J,28400,0
AAA,2013J,30268,1
AAA,2013J,31604,0
AAA,2013J,32885,0
AAA,2013J,38053,0
AAA,2013J,45462,0
AAA,2013J,45642,0
AAA,2013J,52130,0
AAA,2013J,53025,0
AAA,2013J,57506,0
AAA,2013J,58873,0
AAA,2013J,59185,0
AAA,2013J,62155,0
AAA,2013J,63400,0
AAA,2013J,65002,1
AAA,2013J,70464,0
AAA,2013J,71361,0
AAA,2013J,74372,0
AAA,2013J,75091,0
AAA,2013J,77367,0
AAA,2013J,91265,0
AAA,2013J,94961,1
AAA,2013J,98094,0
AAA,2013J,100893,0
AAA,2013J,101781,0
AAA,2013J,102806,0
AAA,2013J,102952,0
AAA,2013J,104476,0
AAA,2013J,106247,1
AAA,2013J,106577,0
AAA,2013J,110175,0
AAA,2013J,111717,0
AAA,2013J,113295,0
AAA,2013J,114017,0
AAA,2013J,114999,0
AAA,2013J,116541,0
AAA,2013J,116692,0
AAA,2013J,118983,0
AAA,2013J,123044,0
AAA,2013J,127582,0
AAA,2013J,129955,1
AAA,2013J,132976,0
AAA,2013J,134143,0
AAA,2013J,135335,1
AAA,2013J,135400,1
AAA,2013J,137873,0
AAA,2013J,141355,0
AAA,2013J,141377,1
AAA,2013J,142326,0
AAA,2013J,144801,0
AAA,2013J,145130,0
AAA,2013J,146188,0
AAA,2013J,147756,0
AAA,2013J,147793,1
AAA,2013J,148993,1
AAA,2013J,151358,0
AAA,2013J,155550,0
AAA,2013J,155854,0
AAA,2013J,155984,1
AAA,2013J,157568,0
AAA,2013J,159954,1
AAA,2013J,164259,0
AAA,2013J,167906,0
AAA,2013J,168936,0
AAA,2013J,172112,0
AAA,2013J,172797,0
AAA,2013J,174782,0
AAA,2013J,175392,0
AAA,2013J,175932,0
AAA,2013J,175991,0
AAA,2013J,180753,0
AAA,2013J,181316,1
AAA,2013J,183096,0
AAA,2013J,183947,0
AAA,2013J,184271,0
AAA,2013J,185439,0
AAA,2013J,186149,0
AAA,2013J,187100,0
AAA,2013J,188278,1
AAA,2013J,189879,0
AAA,2013J,192183,0
AAA,2013J,195262,1
AAA,2013J,200860,0
AAA,2013J,202635,1
AAA,2013J,205350,0
AAA,2013J,205719,0
AAA,2013J,227499,0
AAA,2013J,227517,0
AAA,2013J,228082,0
AAA,2013J,228222,0
AAA,2013J,229179,0
AAA,2013J,229361,0
AAA,2013J,231554,0
AAA,2013J,235507,1
AAA,2013J,236284,0
AAA,2013J,238007,0
AAA,2013J,240712,0
AAA,2013J,240884,0
AAA,2013J,241649,0
AAA,2013J,241729,0
AAA,2013J,242793,0
AAA,2013J,246834,0
AAA,2013J,248270,0
AAA,2013J,255548,0
AAA,2013J,256815,0
AAA,2013J,258392,0
AAA,2013J,258894,0
AAA,2013J,260355,1
AAA,2013J,262011,0
AAA,2013J,262934,0
AAA,2013J,268073,0
AAA,2013J,268733,1
AAA,2013J,271251,0
AAA,2013J,277880,1
AAA,2013J,279572,0
AAA,2013J,281022,0
AAA,2013J,281250,0
AAA,2013J,281589,0
AAA,2013J,282821,0
AAA,2013J,286488,0
AAA,2013J,287548,0
AAA,2013J,290201,0
AAA,2013J,290757,0
AAA,2013J,291334,0
AAA,2013J,292923,1
AAA,2013J,293699,0
AAA,2013J,294570,0
AAA,2013J,294594,0
AAA,2013J,295741,0
AAA,2013J,296332,0
AAA,2013J,298696,0
AAA,2013J,300398,0
AAA,2013J,302302,0
AAA,2013J,305152,0
AAA,2013J,305386,0
AAA,2013J,305539,1
AAA,2013J,306107,0
AAA,2013J,306466,0
AAA,2013J,306897,0
AAA,2013J,307061,0
AAA,2013J,307866,0
AAA,2013J,311917,0
AAA,2013J,312537,0
AAA,2013J,312782,0
AAA,2013J,318933,0
AAA,2013J,319047,0
AAA,2013J,321942,0
AAA,2013J,324002,0
AAA,2013J,324084,0
